"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"India","81","84","82","80","76","69","60","51","36","27","","","","","","","","","","",""
"Indonesia","49","71","67","63","55","31","28","76","78","76","74","67","66","73","50","23","29","21","","",""
"Iran (Islamic Republic of)","98","98","98","98","98","98","98","97","97","99","99","99","96","97","98","92","99","96","96","94","99"
"Iraq","93","86","83","84","75","76","67","57","68","77","77","87","76","64","52","58","41","45","48","52",""
"Israel","96","96","96","96","97","97","96","95","89","87","93","92","91","90","96","96","97","97","97","97",""
"Italy","86","88","89","86","82","83","83","84","","","","","","","","","","","","",""
"Jamaica","89","92","82","95","85","83","72","71","76","60","56","78","80","84","88","91","95","95","96","96",""
"Japan","95","93","93","95","93","93","94","93","92","92","97","92","78","","","","","","","",""
"Jordan","90","93","96","99","99","96","98","98","96","95","95","90","90","97","88","92","98","91","90","87","83"
"Kazakhstan","91","98","98","99","99","98","99","99","97","99","99","99","99","99","99","96","99","99","98","95","98"
"Kenya","49","49","45","35","32","28","","","","","","","","","","","","","","",""
"Kiribati","57","91","85","79","79","76","80","84","9","61","21","35","","","","","","","","",""
"Kuwait","","94","94","99","99","96","86","99","99","99","99","94","86","90","96","77","","","","",""
"Kyrgyzstan","93","98","96","96","98","96","97","97","98","98","98","98","97","95","97","98","98","98","98","98","96"
"Lao People's Democratic Republic","47","44","53","0","","","","","","","","","","","","","","","","",""
"Latvia","94","96","94","89","89","92","89","92","92","92","93","92","94","98","99","99","98","97","96","95","90"
"Lebanon","64","63","63","63","63","63","63","65","68","70","73","75","65","55","45","34","24","14","28","42","56"
"Lesotho","69","82","82","82","82","82","82","82","82","82","81","81","80","80","80","68","56","47","50","46",""
"Liberia","30","13","","","","","","","","","","","","","","","","","","",""
"Libya","72","72","72","94","96","97","92","95","97","97","97","97","97","97","96","95","95","90","86","81",""
"Lithuania","91","93","92","92","92","92","92","92","93","94","95","94","96","96","94","95","93","93","95","96","97"
"Luxembourg","90","90","90","86","86","86","86","86","86","","","","","","","","","","","",""
"Madagascar","24","","","","","","","","","","","","","","","","","","","",""
"Malawi","75","75","72","67","61","8","","","","","","","","","","","","","","",""
"Malaysia","84","87","88","99","99","99","99","99","99","95","95","95","93","92","90","91","","","","",""
"Maldives","96","96","99","99","99","99","97","99","99","96","96","96","76","56","","","","","","",""
"Mali","26","4","","","","","","","","","","","","","","","","","","",""
"Malta","99","95","95","83","86","91","94","88","91","85","85","85","83","77","86","60","31","2","","",""
"Marshall Islands","","64","61","62","49","70","53","56","58","74","90","66","79","91","60","71","92","90","70","6","6"
"Mauritius","87","99","99","95","92","96","85","85","90","89","90","85","83","80","85","78","80","","","",""
"Mexico","78","55","99","62","98","96","95","76","92","97","91","92","94","85","91","97","97","96","89","99","98"
"Micronesia (Federated States of)","62","52","48","52","45","74","75","75","70","75","75","82","84","86","85","84","74","66","65","64","50"
"Monaco","","79","79","79","79","79","79","","","","","","","","","","","","","",""
"Mongolia","96","98","98","98","90","98","98","97","98","98","95","97","96","97","96","98","98","98","96","95","75"
"Montenegro","76","81","86","83","86","94","95","94","97","97","97","96","96","95","","","","","","",""
"Morocco","","99","99","99","99","95","54","","","","","","","92","92","92","91","","","",""
"Mozambique","62","64","58","45","36","","","","","","","","","","","","","","","",""
"Myanmar","90","80","87","80","86","78","82","80","","80","75","65","57","","","","","","","",""
"Namibia","","56","50","32","","","","","","","","","","","","","","","","",""
"Nauru","97","95","94","94","97","96","94","88","81","99","99","92","99","99","97","50","60","72","83","95",""
"Nepal","74","76","69","59","25","","","","","","","","","","","","","","","",""
"Netherlands","","90","89","90","91","92","93","92","93","93","92","93","93","92","92","93","98","98","96","",""
"New Zealand","91","90","90","90","89","87","86","86","85","86","","","","","","","","","","",""
"Nicaragua","98","99","95","84","","","","","","","","","","","","","","","","",""
"Niger","60","58","48","46","31","16","3","","","","","","","","","","","","","",""
"Nigeria","12","9","","","","","","","","","","","","","","","","","","",""
"Niue","","99","99","99","99","99","99","99","98","98","99","99","99","99","99","70","99","86","90","99","99"
"Norway","95","95","93","91","91","91","92","91","91","94","97","96","95","93","91","91","90","89","90","90","90"
"occupied Palestinian territory, including east Jerusalem","99","99","99","99","99","99","99","98","97","95","94","97","99","87","92","97","94","94","93","94","95"
"Oman","","99","99","99","99","98","99","99","99","99","99","99","98","95","97","97","98","98","98","99","99"
"Pakistan","74","71","67","67","67","54","48","43","42","38","34","30","","","","","","","","",""
"Palau","83","88","75","77","95","82","81","98","86","83","39","79","77","83","98","95","98","94","90","83","75"
"Panama","74","97","99","93","93","92","90","68","72","81","73","76","79","83","86","89","89","89","88","88","88"
"Papua New Guinea","27","20","","","","","","","","","","","","","","","","","","",""
"Paraguay","72","83","83","82","87","72","76","76","75","78","77","77","84","74","61","31","","","","",""
"Peru","","66","66","66","66","63","44","54","63","70","56","42","17","9","","","","","","",""
"Philippines","68","68","67","67","66","67","59","54","42","36","10","19","","","","","","","","",""
"Poland","","92","92","93","93","94","95","93","95","95","94","95","97","98","99","90","96","97","97","96","96"
"Portugal","","96","96","95","95","95","96","96","96","96","95","95","95","95","95","87","79","72","64","56","48"
"Qatar","90","98","95","93","92","91","95","99","99","99","98","99","95","91","87","98","95","91","91","",""
"Republic of Korea","","96","97","97","97","97","96","95","97","98","98","99","99","99","99","99","99","95","95","67","39"
"Republic of Moldova","93","95","96","92","95","90","93","94","95","96","98","98","97","95","99","98","98","96","69","",""
"North Macedonia","","94","94","97","93","93","96","96","96","98","99","97","95","95","96","95","95","97","95","94","95"
"Romania","75","76","81","75","76","80","84","88","90","91","93","94","95","96","96","96","96","97","97","97","96"
"Russian Federation","96","97","97","97","97","97","97","97","97","97","98","97","97","97","97","97","97","96","93","88","86"
"Rwanda","91","92","96","95","90","87","","","","","","","","","","","","","","",""
"Saint Kitts and Nevis","99","98","96","95","96","90","90","94","90","99","99","99","94","95","96","97","98","98","99","99","99"
"Saint Lucia","71","75","68","73","88","95","79","62","80","72","74","63","22","33","45","56","67","69","71","73","89"
"Saint Vincent and the Grenadines","99","99","99","99","99","99","98","96","92","91","89","94","94","83","88","93","73","86","99","99",""
"Samoa","44","44","13","42","44","48","63","72","52","50","30","14","46","36","6","26","45","65","84","",""
"San Marino","79","79","84","78","81","86","86","85","89","92","90","92","92","94","94","94","94","94","","",""
"Sao Tome and Principe","","81","76","76","76","76","71","","","","","","","","","","","","","",""
"Saudi Arabia","96","96","97","96","96","96","98","99","98","97","98","98","98","98","97","97","97","97","96","96",""
"Senegal","69","68","62","59","57","54","13","","","","","","","","","","","","","",""
"Serbia","","91","90","91","90","86","91","82","90","90","91","87","97","96","90","98","96","96","75","74","78"
"Seychelles","99","99","97","99","99","98","98","97","99","99","98","99","98","99","99","99","99","99","99","98",""
"Sierra Leone","67","72","64","55","50","60","","","","","","","","","","","","","","",""
"Singapore","","84","84","90","88","90","90","90","95","96","96","95","96","96","96","95","96","96","96","96","98"
"Slovakia","98","98","97","97","97","98","98","99","99","99","99","99","99","98","99","98","98","99","99","99","99"
"Slovenia","91","94","94","94","93","96","94","95","96","96","96","98","98","98","99","99","99","98","98","98","98"
"Solomon Islands","51","54","54","","","","","","","","","","","","","","","","","",""
"South Africa","76","79","75","78","69","59","55","50","53","54","55","63","54","49","53","48","51","52","46","54","62"
"Spain","94","94","94","93","95","94","93","91","90","91","92","90","94","95","94","92","91","","","",""
"Sri Lanka","96","99","99","99","99","99","99","99","99","99","99","97","97","97","98","99","95","90","92","52",""
"Sudan","68","74","72","72","69","69","61","57","24","","","","","","","","","","","",""
"Suriname","50","58","54","56","58","43","33","33","","","","","","","","","","","","",""
"Sweden","95","95","95","95","95","95","95","95","95","95","94","95","94","95","95","95","95","95","94","94","94"
"Switzerland","93","90","90","90","87","87","87","86","86","86","83","83","83","71","71","71","","","","",""
"Syrian Arab Republic","53","54","54","59","52","47","49","51","53","71","82","82","81","81","81","81","82","83","84","83","80"
"Tajikistan","97","97","97","98","97","94","98","92","97","96","95","93","87","90","96","92","98","94","93","72","59"
"Thailand","","87","87","95","95","95","94","94","91","91","91","91","91","94","94","95","95","92","89","86","99"
"Timor-Leste","78","80","54","57","30","","","","","","","","","","","","","","","",""
"Togo","46","53","","","","","","","","","","","","","","","","","","",""
"Tonga","99","99","99","99","99","99","92","99","95","99","98","98","98","99","99","98","99","96","","",""
"Trinidad and Tobago","","92","92","90","65","79","93","86","85","83","82","80","81","87","78","84","78","73","77","80",""
"Tunisia","92","93","92","91","91","94","91","98","96","97","98","97","99","98","98","99","99","99","98","99","98"
"Turkey","93","88","87","86","85","86","88","98","85","86","91","88","92","94","84","98","97","97","83","91",""
"Turkmenistan","99","99","99","99","99","99","99","99","99","99","99","99","99","98","99","98","90","89","87","94","92"
"Tuvalu","85","92","81","94","92","86","91","84","93","90","87","84","82","74","83","86","90","93","97","99",""
"Ukraine","82","92","90","84","31","57","57","54","54","56","41","68","95","96","98","96","97","99","98","98","99"
"United Arab Emirates","92","94","95","97","98","99","99","98","96","95","94","93","92","93","93","94","92","92","92","92","92"
"United Kingdom of Great Britain and Northern Ireland","87","87","88","88","89","89","89","88","87","85","84","79","75","74","75","75","76","77","74","74","76"
"United Republic of Tanzania","67","72","68","67","63","53","29","","","","","","","","","","","","","",""
"United States of America","95","95","94","94","94","93","92","91","91","90","89","88","87","86","86","86","86","86","86","86","85"
"Uruguay","91","99","91","92","92","93","93","92","","","","","","","","","","","","",""
"Uzbekistan","99","99","99","99","99","99","99","99","99","99","54","8","26","44","63","81","99","98","97","98","98"
"Venezuela (Bolivarian Republic of)","28","13","39","59","53","52","50","38","33","26","31","6","","","","","","","","",""
"Viet Nam","93","92","90","93","95","92","94","86","83","93","98","96","97","18","","","","","","",""
"Yemen","46","46","46","46","49","41","45","47","40","46","43","38","35","32","26","21","","","","",""
"Zambia","66","66","65","64","58","47","33","","","","","","","","","","","","","",""
"Zimbabwe","74","75","78","78","63","","","","","","","","","","","","","","","",""
