"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","75","75","76","71","71","67","62","64","67","68","66","63","64","63","58","58","50","41","36","35","24"
"Albania","","99","99","99","98","99","98","99","99","99","99","98","99","99","97","97","98","97","98","97","97"
"Algeria","","91","91","91","91","95","95","95","95","95","95","94","92","95","95","88","86","87","86","89","86"
"Andorra","99","99","99","99","98","97","97","96","99","99","99","99","99","96","93","98","99","99","95","95","95"
"Angola","51","56","61","52","58","62","55","48","54","50","56","36","36","43","8","14","18","21","22","28","21"
"Antigua and Barbuda","95","95","94","94","87","86","96","98","97","99","99","98","99","98","99","98","97","99","93","99","96"
"Argentina","74","83","84","84","87","93","92","90","90","93","95","97","94","92","92","95","91","95","94","85","88"
"Armenia","","94","92","96","96","96","95","96","96","96","96","94","91","90","87","92","93","96","96","97","96"
"Australia","95","95","95","95","94","93","92","91","92","92","92","92","92","92","92","92","92","92","92","91","90"
"Austria","85","85","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","82","83","71"
"Azerbaijan","85","96","96","97","98","98","97","96","92","91","85","84","85","81","80","79","78","79","80","77","75"
"Bahamas","","89","90","94","94","95","96","97","99","97","97","97","93","95","94","93","92","93","93","98","91"
"Bahrain","98","99","99","98","99","98","98","99","99","99","99","97","97","97","98","98","98","97","98","99","97"
"Bangladesh","98","98","98","98","98","98","97","96","94","96","94","97","96","96","95","94","88","90","83","85","83"
"Barbados","85","91","94","91","97","97","95","91","88","91","90","93","85","93","85","91","93","90","86","93","86"
"Belarus","97","98","98","98","98","99","97","98","98","98","99","98","98","90","97","98","99","53","99","99","99"
"Belgium","","98","98","98","98","99","99","99","99","98","98","98","99","99","99","97","96","96","96","96","96"
"Belize","79","98","96","88","96","94","95","95","98","95","96","98","94","97","98","96","97","95","93","96","91"
"Benin","73","75","75","75","75","72","71","73","80","77","77","80","77","82","76","73","74","75","76","77","78"
"Bhutan","96","97","97","97","97","98","98","97","97","95","92","93","96","93","96","95","90","96","89","88","98"
"Bolivia (Plurinational State of)","68","75","83","83","87","88","85","88","93","95","90","92","87","85","82","84","84","82","76","71","74"
"Bosnia and Herzegovina","","73","73","75","79","74","86","87","87","89","90","90","92","95","91","95","87","87","86","92","87"
"Botswana","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","97","97","97"
"Brazil","74","85","85","75","72","98","96","96","96","98","99","99","99","99","99","99","99","99","99","99","99"
"Brunei Darussalam","99","99","99","99","99","99","99","99","92","96","99","99","97","95","94","93","92","99","99","99","99"
"Bulgaria","91","93","92","92","92","91","88","95","95","95","94","94","96","95","96","97","94","96","94","94","94"
"Burkina Faso","91","91","91","91","91","91","91","89","90","90","90","91","92","93","94","94","83","83","69","62","45"
"Burundi","93","93","90","91","94","94","95","96","96","95","94","96","89","93","88","82","76","75","74","72","71"
"Cabo Verde","94","97","98","96","95","93","95","93","94","90","99","99","99","98","97","95","94","93","92","91","90"
"Cambodia","94","94","90","91","91","92","92","71","90","91","90","95","91","82","80","82","86","69","54","59","62"
"Cameroon","70","68","68","74","75","77","84","88","85","80","83","79","82","81","78","79","72","72","66","61","57"
"Canada","92","92","91","91","91","91","91","91","91","87","90","93","96","99","95","93","91","88","88","88","88"
"Central African Republic","46","46","46","46","52","51","50","23","47","47","46","45","46","46","47","47","45","44","42","40","38"
"Chad","52","47","41","44","44","52","44","46","51","40","43","32","30","38","49","37","31","36","31","26","30"
"Chile","93","96","95","93","95","96","95","90","90","93","92","94","95","95","94","92","94","96","97","96","91"
"China","99","99","99","99","99","99","99","99","99","99","99","99","99","94","94","87","87","87","86","86","86"
"Colombia","88","93","92","92","91","91","90","91","91","85","88","92","92","93","94","93","89","92","83","83","82"
"Comoros","81","88","94","94","92","92","87","85","85","85","82","84","81","75","69","67","73","80","98","70","70"
"Congo","73","78","75","69","71","80","90","85","68","72","72","76","77","71","73","62","67","50","41","32","31"
"Cook Islands","","98","99","99","99","99","99","98","98","93","99","82","99","99","99","99","99","95","97","90","92"
"Costa Rica","94","94","94","96","97","92","91","95","90","82","93","80","89","89","89","91","90","88","94","92","80"
"Côte d'Ivoire","74","85","86","82","81","77","71","74","83","58","75","77","58","75","76","87","76","68","70","70","66"
"Croatia","","94","94","92","93","94","95","96","96","96","97","96","96","96","96","96","96","95","95","94","94"
"Cuba","98","99","99","98","98","99","99","99","98","99","99","99","99","99","99","99","98","98","98","99","98"
"Cyprus","","96","97","97","97","97","99","99","99","99","99","99","97","97","97","98","98","98","98","97","97"
"Czechia","","97","96","94","96","97","99","99","99","99","99","99","99","99","98","96","96","97","97","97","98"
"Democratic People's Republic of Korea","70","98","99","99","99","99","99","99","99","99","99","98","98","99","98","97","99","99","99","98","93"
"Democratic Republic of the Congo","59","59","59","59","57","63","68","66","73","77","76","78","64","72","62","60","52","47","40","30","42"
"Denmark","97","97","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","98","97","97"
"Djibouti","70","85","84","76","68","84","78","82","81","87","88","89","89","88","72","71","64","68","62","49","46"
"Dominica","97","99","94","91","99","98","97","96","97","98","99","99","95","93","96","98","99","99","98","99","99"
"Dominican Republic","80","92","89","80","82","87","90","82","85","84","85","85","86","86","88","86","66","65","74","71","71"
