"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Ghana","94","97","97","99","93","88","98","90","92","91","94","94","93","94","84","84","80","80","80","",""
"Greece","96","96","96","96","96","96","96","98","98","95","95","95","95","95","94","93","92","92","91","90","89"
"Grenada","72","94","95","96","96","92","97","97","97","94","97","99","99","96","91","99","83","97","98","96",""
"Guatemala","89","85","86","82","80","74","73","85","96","88","94","92","95","85","89","87","","","","",""
"Guinea","47","47","47","45","47","47","44","50","57","63","64","57","57","57","","","","","","",""
"Guinea-Bissau","","78","82","79","85","86","86","87","87","89","82","80","","","","","","","","",""
"Guyana","99","99","95","97","97","95","98","98","97","93","95","98","93","94","93","93","91","90","91","85",""
"Haiti","51","51","64","64","64","64","63","68","","","","","","","","","","","","",""
"Honduras","80","88","91","90","95","98","99","99","98","97","97","97","92","93","94","97","93","91","94","95","93"
"India","85","91","90","89","88","87","79","70","73","44","38","37","29","6","6","8","6","","","",""
"Indonesia","77","85","85","85","84","84","88","92","86","81","83","82","82","76","66","65","64","64","63","62","65"
"Iran (Islamic Republic of)","99","99","99","99","99","98","99","99","98","99","99","99","99","97","98","94","95","98","99","94","99"
"Iraq","74","84","86","81","71","68","69","68","65","78","72","75","66","56","59","65","62","63","65","66","67"
"Ireland","94","93","94","95","95","95","95","95","95","95","46","","","","","","","","","",""
"Israel","96","96","96","97","95","96","97","97","97","98","97","98","99","99","96","96","99","98","98","96","98"
"Italy","94","95","95","94","93","93","95","96","96","96","96","96","96","97","96","96","96","95","95","95","94"
"Jamaica","95","96","97","93","98","91","92","93","96","92","94","90","92","92","97","99","98","36","","",""
"Japan","92","99","","","","","","","","","","","","","","","","","","",""
"Jordan","77","89","96","99","98","99","98","98","98","98","98","98","97","98","98","95","95","97","95","97","93"
"Kazakhstan","88","97","98","99","82","98","95","99","95","99","99","99","99","94","99","94","99","99","95","95","99"
"Kenya","91","91","92","82","89","89","92","93","94","96","90","88","88","81","80","76","73","73","84","",""
"Kiribati","92","94","95","90","81","82","75","95","94","95","91","86","83","96","88","50","67","73","79","85","90"
"Kuwait","","91","91","99","99","99","96","99","98","99","99","99","99","99","99","99","94","99","99","99","95"
"Kyrgyzstan","86","95","94","92","96","97","96","97","96","96","96","96","97","94","90","97","99","99","99","57","44"
"Lao People's Democratic Republic","79","80","85","84","83","83","83","83","77","76","74","67","61","50","57","49","45","50","","",""
"Latvia","99","99","96","98","98","94","92","94","90","89","91","92","93","91","94","99","98","98","98","96","95"
"Lebanon","71","80","80","80","80","80","80","80","80","80","81","81","81","80","78","77","75","74","77","80","83"
"Lesotho","87","87","87","87","87","83","88","93","95","96","93","91","88","90","91","87","60","17","","",""
"Liberia","65","70","80","80","73","65","63","80","80","77","70","81","75","","","","","","","",""
"Libya","73","73","73","96","97","97","94","96","98","98","98","98","98","98","98","97","99","96","91","93","92"
"Lithuania","91","92","93","94","95","94","94","93","93","95","94","95","96","96","95","95","94","95","94","95","98"
"Luxembourg","96","96","96","94","94","94","94","94","94","95","94","95","94","87","95","95","94","95","95","86","77"
"Madagascar","70","70","66","65","68","62","68","70","68","73","70","77","77","84","82","81","71","61","51","",""
"Malawi","90","95","92","88","84","88","91","89","96","97","93","93","91","87","99","93","89","84","64","",""
"Malaysia","99","97","99","98","98","99","96","96","97","96","96","96","97","96","95","96","94","95","95","95","97"
"Maldives","99","98","99","99","99","99","99","99","99","96","97","98","98","98","98","98","97","98","98","98","96"
"Mali","70","77","77","77","76","71","66","64","65","66","72","71","74","74","90","83","73","79","","",""
"Malta","98","98","98","88","97","95","90","94","93","82","75","86","86","82","86","85","85","89","","",""
"Marshall Islands","","82","84","82","73","85","79","80","80","89","97","99","97","93","97","89","72","74","80","76","38"
"Mauritania","71","81","81","81","74","73","81","80","80","75","64","64","74","74","68","42","","","","",""
"Mauritius","93","97","97","96","72","97","97","98","98","98","99","99","99","97","97","97","98","97","88","92","88"
"Mexico","79","56","55","58","93","82","84","82","99","98","93","95","97","98","98","98","98","98","97","97","97"
"Micronesia (Federated States of)","88","84","83","80","76","78","81","83","82","83","88","89","89","90","84","91","80","89","85","81","87"
"Monaco","","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Mongolia","96","98","99","99","99","99","99","98","99","99","96","97","96","98","98","98","98","98","98","95","93"
"Montenegro","52","62","72","73","75","82","87","90","90","91","90","87","93","90","90","","","","","",""
"Morocco","","99","99","99","99","99","99","99","99","98","98","98","97","95","95","96","95","90","92","84","43"
"Mozambique","79","88","88","88","88","88","88","85","81","78","74","74","75","75","75","75","76","76","76","25",""
"Myanmar","84","90","91","89","90","89","88","75","58","40","92","91","85","85","75","62","39","8","","",""
"Namibia","","87","89","88","85","92","88","89","84","82","83","","","","","","","","","",""
"Nauru","95","96","90","87","97","91","95","87","79","99","99","99","99","99","99","80","78","77","75","95","58"
"Nepal","84","93","91","90","87","91","92","92","90","92","82","89","82","82","69","41","27","2","","",""
"Netherlands","","92","92","92","93","94","94","51","20","20","","","","","","","","","","",""
"New Zealand","92","92","93","94","92","92","93","93","93","95","90","93","90","88","87","87","88","89","89","90","90"
"Nicaragua","92","98","98","98","98","98","98","98","98","98","98","98","97","93","88","86","79","86","85","87","83"
"Niger","81","81","79","85","80","84","81","73","71","75","70","71","","","","","","","","",""
"Nigeria","57","57","56","55","53","42","43","43","42","46","49","63","41","42","27","18","","","","",""
"Niue","","99","99","99","99","99","99","99","99","99","99","99","99","99","99","86","99","95","99","99","99"
"Norway","97","96","","","","","","","","","","","","","","","","","","",""
"occupied Palestinian territory, including east Jerusalem","99","99","99","99","99","99","99","99","99","99","98","97","96","98","97","99","96","97","91","92","95"
"Oman","","99","99","99","99","99","99","98","98","99","99","98","99","99","99","99","99","99","99","99","99"
"Pakistan","77","84","81","78","75","72","69","65","64","63","52","52","53","54","60","65","62","62","","",""
"Palau","93","98","98","98","98","90","99","99","89","91","80","69","92","91","98","98","98","99","99","98","96"
"Panama","74","88","88","81","86","73","80","80","85","87","94","85","86","85","88","92","95","98","98","98",""
"Papua New Guinea","39","35","35","36","46","52","57","69","69","72","67","66","59","61","71","63","60","67","60","59","57"
"Paraguay","79","86","88","91","92","92","93","90","91","91","91","85","87","86","92","92","90","86","","",""
"Peru","","88","84","83","89","90","88","88","95","91","93","93","93","93","94","94","92","65","","",""
"Philippines","71","77","79","82","84","55","63","87","88","87","77","85","88","87","77","49","48","52","42","45","7"
"Poland","","91","91","93","95","96","96","96","97","98","98","98","98","98","98","98","98","97","98","95","99"
"Portugal","","98","98","98","98","98","98","98","98","97","97","96","97","97","97","94","94","94","82","70","58"
"Qatar","82","98","98","97","98","99","89","97","93","93","97","99","97","94","96","97","97","93","98","93","89"
"Republic of Korea","","98","98","98","98","98","99","99","99","99","94","94","94","91","99","99","92","91","92","89","93"
"Republic of Moldova","87","94","94","89","90","88","92","91","94","96","98","89","97","95","98","99","99","99","99","94","92"
"North Macedonia","","92","92","91","94","92","97","97","98","96","90","95","97","96","89","53","","","","",""
"Romania","87","90","93","92","90","90","94","96","96","96","98","95","97","99","99","98","99","98","99","98","98"
"Russian Federation","97","97","97","97","97","97","97","97","97","97","97","98","98","98","98","97","96","94","81","43",""
"Rwanda","91","98","97","98","98","98","98","98","98","97","97","97","97","97","99","95","89","96","88","",""
"Saint Kitts and Nevis","99","97","98","98","98","94","98","97","98","98","96","97","98","99","99","99","96","99","96","99","99"
"Saint Lucia","86","92","95","80","95","99","99","99","98","99","97","95","96","99","85","95","91","84","14","",""
"Saint Vincent and the Grenadines","97","97","97","99","99","99","98","97","96","96","99","99","99","99","99","99","99","31","","",""
"Samoa","72","58","34","74","80","84","81","85","82","75","72","58","26","58","46","51","62","90","92","93","93"
"San Marino","89","87","78","82","86","84","83","83","88","92","89","89","91","91","92","95","95","96","96","96","97"
"Sao Tome and Principe","","95","95","95","96","96","95","97","96","96","98","98","99","87","75","96","70","43","","",""
"Saudi Arabia","95","96","97","98","98","98","98","98","98","98","98","98","98","96","96","97","96","95","97","95","93"
"Senegal","92","96","92","93","93","89","89","92","91","92","89","86","88","94","89","84","54","","","",""
"Serbia","","94","91","93","91","94","92","91","97","94","89","93","93","99","93","65","89","","","",""
"Seychelles","97","99","99","97","96","97","99","98","98","99","99","98","99","99","99","99","99","99","98","95","97"
"Sierra Leone","91","95","93","90","84","86","83","92","91","89","86","84","77","63","","","","","","",""
"Singapore","","96","96","96","96","96","96","97","97","96","96","96","97","96","95","96","94","95","95","95","97"
"Slovakia","97","97","96","96","96","96","97","98","99","99","99","99","99","99","99","99","99","99","99","99","98"
"Solomon Islands","94","94","85","83","94","87","77","83","92","92","87","91","89","90","99","83","81","79","75","83","81"
"Somalia","42","42","42","42","42","42","42","42","","","","","","","","","","","","",""
"South Africa","84","85","82","84","85","85","85","73","70","76","71","74","76","83","83","79","76","71","72","72","73"
"South Sudan","49","49","49","47","45","31","","","","","","","","","","","","","","",""
"Spain","98","96","96","94","97","97","96","95","96","97","97","96","97","96","97","96","97","81","82","83","77"
"Sri Lanka","96","99","99","99","99","99","99","99","99","99","99","97","98","98","98","99","62","32","","",""
"Sudan","90","93","93","95","93","93","94","93","92","93","75","72","78","78","60","22","","","","",""
"Suriname","51","77","81","67","77","73","71","76","76","80","84","87","84","84","84","83","","","","",""
"Sweden","97","97","92","76","67","53","42","35","30","29","","","","","","","","","","",""
"Switzerland","72","69","69","69","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","49","54","47","48","42","41","47","71","43","66","84","84","83","83","83","83","82","81","80","80","79"
"Tajikistan","97","97","96","96","97","96","97","96","94","96","93","93","86","84","88","81","81","58","39","",""
"Thailand","","97","97","99","99","99","99","99","98","98","98","98","98","96","96","96","96","96","95","95","95"
"Timor-Leste","86","90","83","83","79","76","77","82","83","67","72","72","79","","","","","","","",""
"Togo","82","84","81","83","82","82","84","84","84","85","83","78","24","","","","","","","",""
"Tonga","99","99","99","99","96","96","98","99","95","99","99","99","98","99","99","99","99","93","95","96","97"
"Trinidad and Tobago","","93","99","89","97","90","92","92","92","90","90","90","90","89","89","95","94","76","5","",""
"Tunisia","92","92","90","92","93","93","94","95","95","98","98","99","99","98","99","97","96","92","93","94","94"
"Turkey","98","99","98","96","98","97","96","97","97","96","96","94","92","96","82","85","77","68","72","77","71"
"Turkmenistan","99","99","99","99","98","99","97","98","98","97","96","97","96","98","98","99","96","97","96","",""
"Tuvalu","93","92","89","96","94","96","89","90","97","96","89","91","99","97","97","79","98","95","99","99","81"
"Uganda","89","93","93","94","93","89","85","84","83","82","80","79","71","73","64","64","62","44","29","",""
"Ukraine","81","76","67","52","26","22","22","46","46","21","48","66","84","92","96","97","98","77","48","7","4"
"United Arab Emirates","91","98","99","98","99","99","99","98","96","95","94","93","92","92","92","92","92","92","92","92","92"
"United Kingdom of Great Britain and Northern Ireland","93","93","","","","","","","","","","","","","","","","","","",""
"United Republic of Tanzania","86","89","89","90","92","96","97","91","92","90","91","85","86","83","90","90","95","95","89","",""
"United States of America","91","91","91","91","93","92","92","91","90","91","92","92","94","93","93","93","92","92","88","89","90"
"Uruguay","92","94","91","93","95","95","95","94","95","95","95","95","94","94","95","96","94","91","95","94","92"
"Uzbekistan","95","96","98","99","99","99","99","99","99","99","99","98","91","99","98","99","99","99","62","",""
"Vanuatu","78","90","85","85","81","80","86","83","79","76","73","69","66","62","59","61","63","64","66","68","70"
"Venezuela (Bolivarian Republic of)","54","64","60","66","84","87","78","82","81","78","78","84","53","62","71","88","82","72","60","53","5"
"Viet Nam","94","89","75","94","96","97","95","59","97","95","88","94","87","67","93","94","94","78","","",""
"Yemen","72","73","65","68","71","69","73","73","67","69","76","76","78","79","78","80","43","38","31","19","14"
"Zambia","84","88","90","94","95","90","86","79","78","81","83","94","87","80","81","82","","","","",""
"Zimbabwe","86","90","89","89","90","87","91","95","97","94","90","73","75","72","68","65","68","70","73","76","79"
