"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","70","72","72","66","66","64","62","64","67","68","66","63","64","63","58","58","50","41","36","33","24"
"Albania","","99","99","99","98","99","98","99","99","99","99","98","99","98","97","98","97","97","98","97","97"
"Algeria","","91","91","91","91","95","95","95","95","95","95","95","93","95","95","88","86","87","86","89","86"
"Andorra","99","99","99","99","98","97","97","96","99","99","99","99","99","96","93","98","99","99","97","96","98"
"Angola","51","57","63","56","59","59","55","54","53","52","51","50","49","48","44","47","47","46","47","42","31"
"Antigua and Barbuda","96","95","95","95","92","99","99","99","98","99","98","99","99","99","99","99","97","99","98","97","95"
"Argentina","74","83","86","86","92","94","94","94","91","91","94","94","93","91","91","98","98","96","93","83","83"
"Armenia","","92","92","94","94","94","93","95","95","95","94","93","89","88","87","90","91","94","94","94","93"
"Australia","95","95","95","95","94","93","92","91","92","92","92","92","92","92","92","92","92","93","92","92","90"
"Austria","85","85","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","83","84","81"
"Azerbaijan","79","94","95","95","97","96","94","93","89","87","81","81","81","79","78","75","77","77","76","77","76"
"Bahamas","","89","90","94","94","95","96","97","98","98","99","96","93","95","95","93","93","92","94","99","99"
"Bahrain","98","99","99","97","99","98","98","99","99","99","99","98","97","97","98","98","98","97","98","99","97"
"Bangladesh","98","98","98","98","98","98","97","96","94","96","94","97","96","94","94","93","99","87","83","85","82"
"Barbados","85","90","95","90","97","97","94","91","87","91","86","93","85","93","84","92","93","89","87","84","93"
"Belarus","97","98","97","97","98","99","97","98","98","98","98","96","97","95","99","99","99","50","99","99","99"
"Belgium","","98","98","98","98","99","99","99","99","98","98","98","99","98","98","97","95","95","95","95","95"
"Belize","79","98","96","88","95","94","95","95","98","95","96","97","94","96","98","96","97","96","89","96","91"
"Benin","72","76","76","76","76","74","74","77","80","75","76","79","75","82","74","70","72","73","75","76","78"
"Bhutan","95","97","97","98","98","99","99","97","97","95","91","93","96","95","95","95","89","95","86","88","92"
"Bolivia (Plurinational State of)","68","75","83","84","87","89","85","87","93","95","91","93","88","84","83","85","84","88","77","71","75"
"Bosnia and Herzegovina","","73","73","75","78","82","86","89","92","88","89","90","91","95","87","93","84","87","80","91","85"
"Botswana","95","95","95","95","95","95","95","95","95","95","95","96","96","96","96","96","96","96","97","97","97"
"Brazil","77","70","87","89","89","96","93","97","95","99","99","99","99","99","99","99","99","99","99","98","98"
"Brunei Darussalam","99","99","99","99","99","99","99","99","95","97","95","99","98","99","97","94","92","92","94","97","99"
"Bulgaria","91","93","92","92","92","91","88","95","95","95","94","94","95","95","95","96","95","96","93","94","93"
"Burkina Faso","91","91","91","91","91","91","91","88","90","91","91","92","93","89","86","82","79","79","69","62","45"
"Burundi","93","93","90","91","94","94","95","96","96","96","96","94","92","99","92","87","83","82","81","81","80"
"Cabo Verde","93","96","98","96","96","93","95","93","94","90","99","99","99","98","96","95","93","92","91","90","90"
"Cambodia","92","92","92","93","93","92","91","86","90","91","90","94","91","82","80","82","85","69","54","60","59"
"Cameroon","69","67","67","74","75","78","83","89","85","82","84","80","84","82","81","80","73","73","66","63","62"
"Canada","91","91","91","91","91","91","91","91","91","87","89","91","92","94","95","93","91","91","88","89","89"
"Central African Republic","42","42","42","42","42","43","45","23","47","47","45","42","45","48","51","54","51","47","44","40","37"
"Chad","52","50","46","41","41","42","36","39","40","33","39","24","19","28","40","25","21","23","25","26","36"
"Chile","93","96","95","93","95","96","95","91","90","94","92","94","95","96","94","91","93","96","97","97","91"
"China","99","99","99","99","99","99","99","99","99","99","99","99","97","93","93","87","87","86","86","86","85"
"Colombia","88","94","92","92","91","91","90","91","91","85","88","92","92","93","93","93","89","92","81","80","79"
"Comoros","87","91","91","91","91","91","87","87","86","83","74","83","81","75","69","68","76","80","89","70","70"
"Congo","73","79","75","69","71","80","90","85","85","82","74","78","79","72","73","62","67","50","41","31","33"
"Cook Islands","","98","99","99","99","99","99","98","98","93","99","82","99","99","99","99","99","96","97","90","92"
"Costa Rica","95","95","94","96","97","92","91","95","91","85","88","86","90","89","89","91","90","88","94","91","88"
"Côte d'Ivoire","80","84","86","83","87","79","73","75","82","61","78","81","74","76","77","76","67","61","64","66","65"
"Croatia","","94","93","92","93","94","95","96","96","96","97","96","96","96","96","96","96","94","95","94","93"
"Cuba","99","99","99","99","99","99","99","99","99","97","96","96","95","93","89","89","88","72","99","98","95"
"Cyprus","","96","99","97","97","97","99","99","99","99","99","99","97","97","97","98","98","98","98","97","97"
"Czechia","","97","97","96","96","97","97","98","99","99","99","99","99","99","98","97","98","97","98","98","98"
"Democratic People's Republic of Korea","97","97","97","97","96","96","93","93","96","94","93","93","92","92","89","79","72","68","64","62","56"
"Democratic Republic of the Congo","57","57","57","57","57","63","68","68","75","74","60","72","65","70","62","60","54","41","38","30","40"
"Denmark","97","97","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","98","97","97"
"Djibouti","70","85","84","76","68","84","78","82","81","87","88","89","89","88","72","71","64","68","62","53","46"
"Dominica","97","99","94","91","99","98","97","96","97","98","98","99","96","96","95","98","99","99","98","99","99"
"Dominican Republic","82","89","94","84","87","85","91","83","85","84","88","82","82","85","89","87","79","79","82","72","78"
"Ecuador","70","85","85","85","83","78","83","87","87","88","91","94","96","96","96","92","88","87","88","89","87"
"Egypt","94","95","95","94","95","93","94","97","93","96","97","97","97","98","98","98","97","98","97","99","98"
"El Salvador","72","81","81","85","93","91","94","92","92","89","89","91","98","99","96","89","90","94","81","92","99"
"Equatorial Guinea","53","53","53","53","53","40","53","53","54","54","54","52","50","48","46","44","43","41","39","37","35"
"Eritrea","95","95","95","95","95","95","94","94","94","94","95","95","95","95","94","96","98","93","90","86","81"
"Estonia","91","91","92","93","93","93","93","94","94","93","94","95","95","95","95","96","94","94","94","94","93"
"Eswatini","83","90","90","90","90","90","98","98","95","91","89","88","88","87","87","86","86","85","85","84","84"
"Ethiopia","71","68","67","68","66","63","61","59","62","65","61","58","54","50","46","44","40","38","35","33","30"
"Fiji","","99","99","99","99","99","99","99","99","99","99","99","99","99","98","96","95","94","93","91","90"
"Finland","91","91","91","89","92","97","98","98","99","99","99","99","99","99","97","97","98","98","98","98","99"
"France","","96","96","96","96","97","98","99","99","99","99","98","99","99","99","98","98","97","97","97","97"
"Gabon","63","70","70","75","75","80","70","79","82","75","67","76","82","81","45","45","45","45","45","45","45"
"Gambia","","88","93","92","95","97","96","97","98","96","97","98","96","95","95","95","87","87","87","87","80"
