,Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s)
0,AFGHANISTAN,0.0,3.033333333333333,10.35,5.125,47.775000000000006,30.375,4918.5615
1,ALBANIA,2.0,4.075,7.76,20.8,24.16,7.7,232.8598
2,ALGERIA,2.0,2.733333333333333,5.942857142857143,12.833333333333334,19.571428571428573,7.3428571428571425,3565.213142857144
3,ANGOLA,1.0,2.4,6.933333333333333,2.55,42.63333333333333,23.600000000000005,3980.054
4,ARGENTINA,2.0,0.2,2.1500000000000004,11.125,10.025,2.6,3613.65175
5,ARMENIA,2.0,1.6,3.94,13.62,16.119999999999997,3.4800000000000004,204.1452
6,AUSTRALIA,3.0,0.0,0.0,13.875,1.0,0.1,1443.0745
7,AZERBAIJAN,2.0,2.575,5.433333333333334,9.183333333333334,21.816666666666663,8.083333333333334,740.5016666666667
9,BANGLADESH,1.0,2.813636363636364,14.5375,0.9625000000000002,54.22916666666666,46.26666666666666,15837.4275
10,BARBADOS,3.0,2.0,6.8,12.2,7.7,3.5,16.653
11,BELARUS,2.0,0.6,2.2,9.7,4.5,1.3,445.676
12,BELIZE,2.0,0.8333333333333334,2.333333333333333,9.6,18.766666666666666,5.300000000000001,36.1045
13,BENIN,0.0,2.425,7.7,2.275,35.375,20.125,1476.52575
14,BHUTAN,1.0,1.4,4.525,5.1,44.25,17.8,74.79675
15,BOLIVIA (PLURINATIONAL STATE OF),1.0,0.7000000000000001,1.9,8.6,29.728571428571424,7.472727272727273,1104.222181818182
16,BOSNIA AND HERZEGOVINA,2.0,2.2,4.566666666666666,19.8,10.933333333333332,2.466666666666667,194.15666666666667
17,BOTSWANA,2.0,2.85,8.8,10.05,31.03333333333333,12.666666666666666,226.70900000000003
18,BRAZIL,2.0,0.7,2.3,6.25,13.133333333333333,3.925,17071.496
19,BRUNEI DARUSSALAM,3.0,0.4,2.9,8.3,19.7,9.6,31.337
20,BULGARIA,2.0,1.5333333333333332,4.666666666666667,9.0,7.466666666666666,2.0,344.03733333333327
21,BURKINA FASO,0.0,4.1692307692307695,12.73076923076923,2.2500000000000004,33.346153846153854,25.076923076923077,2796.190615384616
22,BURUNDI,0.0,1.2600000000000002,6.666666666666667,1.775,57.6,32.25,1497.888
24,CAMBODIA,1.0,3.483333333333334,11.466666666666669,3.033333333333333,43.68333333333333,31.98333333333333,1651.6621666666667
25,CAMEROON,1.0,1.8142857142857145,5.671428571428571,8.042857142857143,33.74285714285714,14.685714285714283,3170.714285714286
27,CENTRAL AFRICAN REPUBLIC (THE),0.0,3.16,8.766666666666667,5.380000000000001,41.78333333333333,23.36666666666667,673.2005
28,CHAD,0.0,5.5,15.239999999999998,3.0400000000000005,41.260000000000005,31.4,2024.2904000000003
30,CHINA,2.0,0.9199999999999996,3.1749999999999994,7.027272727272727,20.6,7.900000000000001,97488.13341666663
31,COLOMBIA,2.0,0.3666666666666667,1.657142857142857,4.783333333333333,18.214285714285715,5.8571428571428585,4111.355285714286
32,COMOROS (THE),1.0,5.4,10.125,12.466666666666669,39.125,19.575,90.28775
33,CONGO (THE),1.0,2.4333333333333336,7.2,4.875,26.725,13.099999999999998,614.63825
35,COTE D'IVOIRE,1.0,2.6,8.8,4.3,31.385714285714283,17.67142857142857,2943.459428571429
37,CZECHIA,3.0,1.0,3.7,5.550000000000001,2.9000000000000004,1.5,543.6065000000001
38,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),0.0,1.275,8.842857142857143,1.0666666666666669,40.3,23.12857142857143,1862.4604285714283
39,DEMOCRATIC REP. OF THE CONGO (THE),0.0,4.15,10.86,5.75,45.46,26.84,10621.0802
40,DJIBOUTI,1.0,9.4,17.075,8.25,30.075000000000003,22.625,99.44525
41,DOMINICAN REPUBLIC (THE),2.0,0.7428571428571429,2.2125,6.7,12.749999999999998,5.1625,990.9735
42,ECUADOR,2.0,0.58,2.183333333333333,5.720000000000001,28.75,8.316666666666666,1530.0248333333332
43,EGYPT,1.0,2.4875000000000003,5.79,13.7625,28.5,8.639999999999999,8911.539818181818
44,EL SALVADOR,1.0,0.4333333333333333,1.7,4.75,26.600000000000005,7.766666666666667,696.23
45,EQUATORIAL GUINEA,2.0,2.425,4.775,8.85,35.65,11.425,115.3865
46,ERITREA,0.0,4.633333333333333,14.6,1.6666666666666667,53.225,37.55,407.6545
47,ESWATINI,1.0,0.5999999999999999,1.7,11.425,32.5,6.819999999999999,148.2304
48,ETHIOPIA,0.0,3.016666666666666,9.957142857142856,2.75,47.84285714285714,31.057142857142853,13942.345571428572
49,FIJI,2.0,2.0,8.05,3.65,5.9,6.1,94.238
50,GABON,2.0,1.4,3.8,6.6,21.45,7.7,219.3365
51,GAMBIA (THE),0.0,2.085714285714286,8.385714285714286,2.228571428571428,23.7,16.300000000000004,317.164625
52,GEORGIA,2.0,0.8500000000000001,2.5666666666666664,19.53333333333333,14.0,2.0666666666666664,252.58
53,GERMANY,3.0,0.1,0.65,3.35,1.5,0.8,3641.69
54,GHANA,1.0,2.011111111111111,7.622222222222222,2.8222222222222224,29.477777777777785,17.244444444444444,3299.961888888889
55,GUATEMALA,2.0,0.8571428571428571,2.2857142857142856,5.4,54.1,19.057142857142853,1849.8642857142856
56,GUINEA,0.0,3.242857142857143,9.425,4.333333333333333,34.2375,19.262500000000003,1712.441125
57,GUINEA-BISSAU,0.0,2.9250000000000003,8.125,6.75,35.275,18.05,243.32675
58,GUYANA,2.0,2.45,9.12,5.24,15.279999999999998,11.383333333333336,87.14283333333334
59,HAITI,0.0,1.98,6.616666666666667,3.66,29.916666666666668,16.9,1216.8086666666666
60,HONDURAS,1.0,0.275,1.828571428571429,3.9,36.85714285714285,13.785714285714286,963.0245714285712
61,INDIA,1.0,6.116666666666667,18.766666666666666,2.9333333333333336,49.05555555555556,42.977777777777774,123014.491
62,INDONESIA,1.0,4.171428571428572,11.375,7.199999999999999,38.3625,24.3625,22286.513875
